site,name,year,month,day,tmin,tmax,date,working,demand,area_string
PM,Port Melbourne,2015,09,05,9,14.9,2015-09-05,Weekend,8.250283203,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,06,3.7,16.1,2015-09-06,Weekend,16.72683984,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,06,3.7,16.1,2015-09-06,Weekend,22.08214648,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,06,3.7,16.1,2015-09-06,Weekend,8.173043945,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,07,7.4,13.5,2015-09-07,Weekday,18.41136914,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,07,7.4,13.5,2015-09-07,Weekday,25.93783984,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,07,7.4,13.5,2015-09-07,Weekday,12.83893359,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,08,7.8,13.1,2015-09-08,Weekday,18.63679297,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,08,7.8,13.1,2015-09-08,Weekday,24.37937109,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,08,7.8,13.1,2015-09-08,Weekday,12.87266699,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,09,9.2,14.9,2015-09-09,Weekday,18.07763867,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,09,9.2,14.9,2015-09-09,Weekday,23.04811328,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,09,9.2,14.9,2015-09-09,Weekday,12.89312305,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,10,9.8,15.4,2015-09-10,Weekday,17.583125,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,10,9.8,15.4,2015-09-10,Weekday,20.8820918,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,10,9.8,15.4,2015-09-10,Weekday,12.52680762,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,11,2.7,19.1,2015-09-11,Weekday,16.60258594,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,11,2.7,19.1,2015-09-11,Weekday,18.49908984,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,11,2.7,19.1,2015-09-11,Weekday,12.22893652,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,12,11.1,21.3,2015-09-12,Weekend,15.69579004,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,12,11.1,21.3,2015-09-12,Weekend,16.54360938,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,12,11.1,21.3,2015-09-12,Weekend,8.233518555,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,13,9,25.3,2015-09-13,Weekend,16.26846094,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,13,9,25.3,2015-09-13,Weekend,15.89447461,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,13,9,25.3,2015-09-13,Weekend,7.923834472999999,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,14,15.4,26.2,2015-09-14,Weekday,17.28875586,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,14,15.4,26.2,2015-09-14,Weekday,16.95709375,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,14,15.4,26.2,2015-09-14,Weekday,11.7704873,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,15,10.3,16,2015-09-15,Weekday,17.43749805,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,15,10.3,16,2015-09-15,Weekday,19.37767578,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,15,10.3,16,2015-09-15,Weekday,11.25209961,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,16,7.3,15.9,2015-09-16,Weekday,17.84707031,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,16,7.3,15.9,2015-09-16,Weekday,20.60801953,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,16,7.3,15.9,2015-09-16,Weekday,12.00311035,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,17,8.4,14.7,2015-09-17,Weekday,17.52357813,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,17,8.4,14.7,2015-09-17,Weekday,21.30389844,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
